order_id,date,customer_id,product_id,quantity,unit_price,unit_cost,discount
O00068,2023-04-01,C002,P02,5,2800,1850,0.0
O00145,2023-04-01,C020,P08,5,900,520,0.1
O00900,2023-04-01,C037,P02,2,2800,1850,0.05
O01596,2023-04-01,C029,P08,4,900,520,0.0
O01887,2023-04-01,C001,P08,1,900,520,0.0
O01405,2023-04-02,C039,P06,2,2400,1560,0.0
O01524,2023-04-02,C030,P02,2,2800,1850,0.0
O02829,2023-04-02,C032,P07,1,4200,2900,0.0
O00474,2023-04-03,C015,P05,5,3500,2300,0.0
O00624,2023-04-03,C006,P05,1,3500,2300,0.0
O00868,2023-04-03,C023,P01,6,500,330,0.0
O01016,2023-04-03,C036,P04,6,1600,1040,0.0
O01031,2023-04-03,C037,P01,2,500,330,0.0
O01306,2023-04-03,C006,P02,2,2800,1850,0.0
O01714,2023-04-03,C039,P05,1,3500,2300,0.0
O01756,2023-04-03,C038,P09,4,2200,1430,0.05
O02651,2023-04-03,C014,P09,2,2200,1430,0.0
O02044,2023-04-04,C018,P09,2,2200,1430,0.0
O02874,2023-04-04,C039,P10,6,1800,1080,0.05
O00030,2023-04-05,C013,P06,4,2400,1560,0.05
O00756,2023-04-05,C009,P11,1,4500,3150,0.0
O01810,2023-04-05,C020,P13,2,3200,2080,0.0
O01974,2023-04-05,C012,P09,1,2200,1430,0.0
O02517,2023-04-05,C032,P01,1,500,330,0.0
O00303,2023-04-06,C014,P12,3,8000,5600,0.05
O00946,2023-04-06,C013,P08,1,900,520,0.0
O01877,2023-04-06,C032,P06,1,2400,1560,0.0
O01954,2023-04-06,C038,P09,2,2200,1430,0.0
O02365,2023-04-06,C030,P01,3,500,330,0.0
O02412,2023-04-06,C023,P06,2,2400,1560,0.0
O02444,2023-04-06,C040,P08,1,900,520,0.0
O00453,2023-04-07,C031,P06,5,2400,1560,0.1
O00401,2023-04-08,C007,P06,1,2400,1560,0.0
O01249,2023-04-08,C035,P06,2,2400,1560,0.05
O02191,2023-04-08,C037,P02,2,2800,1850,0.0
O02758,2023-04-08,C003,P01,5,500,330,0.0
O00115,2023-04-09,C009,P03,1,1200,760,0.0
O00673,2023-04-09,C037,P01,5,500,330,0.0
O01511,2023-04-09,C008,P05,5,3500,2300,0.0
O02928,2023-04-09,C026,P05,1,3500,2300,0.1
O00387,2023-04-10,C030,P08,2,900,520,0.0
O01350,2023-04-10,C020,P07,3,4200,2900,0.0
O01310,2023-04-11,C002,P01,1,500,330,0.0
O01445,2023-04-11,C014,P05,3,3500,2300,0.0
O02376,2023-04-11,C011,P01,10,500,330,0.0
O00884,2023-04-12,C029,P08,4,900,520,0.05
O02174,2023-04-12,C023,P01,2,500,330,0.05
O02411,2023-04-12,C018,P06,3,2400,1560,0.0
O02439,2023-04-12,C037,P05,6,3500,2300,0.1
O00031,2023-04-13,C025,P06,4,2400,1560,0.05
O00177,2023-04-13,C027,P07,2,4200,2900,0.1
O00843,2023-04-13,C031,P11,3,4500,3150,0.0
O01652,2023-04-13,C019,P03,2,1200,760,0.05
O00439,2023-04-15,C014,P08,2,900,520,0.0
O00604,2023-04-15,C039,P09,3,2200,1430,0.05
O00943,2023-04-15,C030,P08,3,900,520,0.1
O01471,2023-04-15,C004,P13,3,3200,2080,0.0
O01845,2023-04-15,C023,P03,5,1200,760,0.0
O01981,2023-04-15,C009,P08,4,900,520,0.0
O02354,2023-04-15,C039,P09,3,2200,1430,0.0
O02375,2023-04-15,C008,P01,3,500,330,0.0
O02539,2023-04-15,C001,P13,1,3200,2080,0.0
O02921,2023-04-16,C029,P06,6,2400,1560,0.0
O00227,2023-04-17,C021,P10,2,1800,1080,0.1
O01215,2023-04-17,C009,P05,2,3500,2300,0.0
O01573,2023-04-17,C025,P06,6,2400,1560,0.0
O02495,2023-04-17,C012,P01,6,500,330,0.0
O02524,2023-04-17,C019,P08,3,900,520,0.0
O00444,2023-04-18,C035,P03,4,1200,760,0.0
O01007,2023-04-18,C030,P08,2,900,520,0.0
O01176,2023-04-18,C021,P05,3,3500,2300,0.0
O01983,2023-04-18,C002,P03,4,1200,760,0.0
O00365,2023-04-19,C033,P01,4,500,330,0.0
O01527,2023-04-19,C017,P08,1,900,520,0.0
O02348,2023-04-19,C016,P08,5,900,520,0.0
O00915,2023-04-20,C004,P06,2,2400,1560,0.05
O02402,2023-04-21,C039,P06,4,2400,1560,0.1
O00038,2023-04-22,C034,P04,3,1600,1040,0.0
O01498,2023-04-22,C001,P04,4,1600,1040,0.0
O01830,2023-04-22,C008,P08,3,900,520,0.1
O00096,2023-04-23,C038,P11,3,4500,3150,0.0
O00159,2023-04-23,C020,P05,5,3500,2300,0.0
O00500,2023-04-23,C024,P05,1,3500,2300,0.0
O00781,2023-04-23,C032,P07,3,4200,2900,0.0
O00871,2023-04-23,C001,P01,1,500,330,0.0
O01692,2023-04-23,C020,P06,4,2400,1560,0.05
O02668,2023-04-24,C022,P06,2,2400,1560,0.0
O02924,2023-04-24,C017,P07,6,4200,2900,0.0
O00005,2023-04-26,C006,P08,3,900,520,0.0
O00842,2023-04-26,C034,P01,3,500,330,0.05
O00985,2023-04-26,C015,P07,3,4200,2900,0.0
O01557,2023-04-26,C030,P01,1,500,330,0.0
O02508,2023-04-26,C016,P01,1,500,330,0.05
O02583,2023-04-26,C032,P01,1,500,330,0.0
O00412,2023-04-27,C022,P09,6,2200,1430,0.0
O01344,2023-04-27,C012,P08,6,900,520,0.0
O01672,2023-04-27,C016,P01,1,500,330,0.1
O01873,2023-04-27,C013,P10,3,1800,1080,0.0
O02183,2023-04-27,C006,P01,5,500,330,0.0
O02618,2023-04-27,C025,P13,3,3200,2080,0.05
O00422,2023-04-28,C028,P11,8,4500,3150,0.0
O01146,2023-04-28,C002,P10,8,1800,1080,0.0
O02512,2023-04-28,C005,P01,1,500,330,0.0
O00234,2023-04-29,C022,P09,4,2200,1430,0.0
O00825,2023-04-29,C035,P11,2,4500,3150,0.05
O00960,2023-04-29,C002,P06,2,2400,1560,0.0
O01753,2023-04-29,C013,P07,3,4200,2900,0.0
O00454,2023-04-30,C015,P10,2,1800,1080,0.0
O01302,2023-04-30,C034,P08,3,900,520,0.0
O01340,2023-04-30,C038,P01,1,500,330,0.0
O02519,2023-04-30,C024,P07,2,4200,2900,0.05
O00424,2023-05-01,C004,P08,4,900,520,0.0
O02794,2023-05-01,C016,P08,3,900,520,0.0
O02954,2023-05-01,C020,P10,3,1800,1080,0.0
O01851,2023-05-02,C010,P09,1,2200,1430,0.0
O02972,2023-05-02,C038,P01,8,500,330,0.1
O00348,2023-05-03,C016,P09,8,2200,1430,0.0
O00475,2023-05-03,C032,P04,2,1600,1040,0.0
O00550,2023-05-03,C004,P06,6,2400,1560,0.05
O00800,2023-05-03,C006,P06,2,2400,1560,0.0
O00872,2023-05-03,C023,P03,3,1200,760,0.0
O00047,2023-05-04,C008,P04,6,1600,1040,0.05
O01792,2023-05-04,C033,P10,2,1800,1080,0.0
O00135,2023-05-05,C016,P11,1,4500,3150,0.0
O00908,2023-05-05,C032,P01,6,500,330,0.0
O01285,2023-05-05,C009,P01,6,500,330,0.0
O01439,2023-05-05,C003,P12,1,8000,5600,0.0
O02716,2023-05-05,C012,P08,5,900,520,0.0
O00799,2023-05-06,C022,P04,3,1600,1040,0.05
O01397,2023-05-06,C036,P01,1,500,330,0.05
O01474,2023-05-06,C035,P04,1,1600,1040,0.0
O02890,2023-05-06,C005,P11,4,4500,3150,0.0
O00826,2023-05-07,C008,P01,1,500,330,0.0
O02606,2023-05-07,C007,P01,1,500,330,0.0
O00354,2023-05-08,C038,P01,2,500,330,0.05
O00452,2023-05-08,C037,P10,6,1800,1080,0.0
O02491,2023-05-08,C012,P05,3,3500,2300,0.0
O02923,2023-05-08,C025,P07,3,4200,2900,0.0
O00288,2023-05-09,C009,P06,1,2400,1560,0.0
O00384,2023-05-09,C007,P10,1,1800,1080,0.1
O01076,2023-05-09,C037,P12,2,8000,5600,0.0
O00397,2023-05-10,C013,P12,1,8000,5600,0.05
O00685,2023-05-10,C030,P06,8,2400,1560,0.05
O01829,2023-05-10,C031,P08,3,900,520,0.0
O01986,2023-05-11,C013,P13,1,3200,2080,0.1
O01998,2023-05-11,C025,P11,4,4500,3150,0.0
O00905,2023-05-12,C008,P13,1,3200,2080,0.0
O01080,2023-05-12,C008,P08,2,900,520,0.0
O02373,2023-05-13,C039,P01,4,500,330,0.0
O02666,2023-05-13,C011,P01,1,500,330,0.05
O02712,2023-05-13,C011,P07,2,4200,2900,0.0
O00060,2023-05-14,C010,P05,1,3500,2300,0.0
O00676,2023-05-14,C037,P11,3,4500,3150,0.0
O00691,2023-05-14,C034,P03,2,1200,760,0.1
O01001,2023-05-14,C019,P03,1,1200,760,0.1
O01607,2023-05-14,C014,P01,1,500,330,0.0
O02328,2023-05-14,C037,P07,4,4200,2900,0.0
O00323,2023-05-15,C040,P09,1,2200,1430,0.05
O01209,2023-05-15,C005,P02,1,2800,1850,0.0
